Game,Month,Day,Year
Resident Evil: Revelations 2,February,"24,",2015
Retrobooster,February,"21,",2014
Ricochet,November,"1,",2000
Rise of Nations,May,"20,",2003
Rise of Nations: Rise of Legends,May,"9,",2006
Rise of Nations: Thrones and Patriots,April,"21,",2004
Rise of the Tomb Raider,April,"21,",2004
Robot Roller-Derby Disco Dodgeball,March,"28,",2014
RollerCoaster Tycoon,March,"31,",1999
RollerCoaster Tycoon,October,"15,",2002
RollerCoaster Tycoon 3,October,"26,",2004
Rome: Total War,November,"22,",2004
Rome: Total War: Alexander,June,"19,",2006
Rome: Total War: Barbarian Invasion,September,"27,",2005
RuneScape,January,"4,",2001
Rust,December,"11,",2013
Ryse: Son of Rome,October,"10,",2014
Sacred,October,"10,",2014
Saints Row 2,January,"5,",2009
Saints Row: The Third,November,"15,",2011
Saints Row IV,August,"20,",2013
Scrapland,November,"4,",2004
Scrolls,June,"3,",2013
Secret of the Silver Blades,October,"20,",1990
Sengoku,September,"13,",2011
Shogun: Total War,June,"13,",2000
ShootMania Storm,April,"10,",2013
Sid Meier's Railroads!,October,"17,",2006
Silent Hunter,October,"17,",2006
Silent Hunter II,November,"6,",2001
Silent Hunter III,March,"15,",2005
Silent Hunter 4: Wolves of the Pacific,March,"20,",2007
Silent Hunter 5: Battle of the Atlantic,March,"2,",2010
Silkroad Online,March,"2,",2010
SimCity,March,"5,",2013
SimCity 2000,March,"5,",2013
SimCity 3000,January,"31,",1999
SimCity 4,January,"14,",2003
SimCity Societies,November,"13,",2007
Sins of a Solar Empire,November,"13,",2007
Sleeping Dogs,September,"14,",2012
Smite,March,"25,",2014
Sonic Heroes,December,"5,",2003
Sonic & Knuckles Collection,December,"5,",2003
Space Engineers,October,"23,",2013
Space Station 13,February,"16,",2003
SpaceChem,January,"1,",2011
Spore,September,"7,",2008
Spore: Galactic Adventure,June,"23,",2009
S.T.A.L.K.E.R.: Call of Pripyat,February,"2,",2010
S.T.A.L.K.E.R.: Clear Sky,September,"15,",2008
S.T.A.L.K.E.R.: Shadow of Chernobyl,March,"20,",2007
Star Citizen,March,"20,",2007
Star Trek Online,February,"2,",2010
Star Wars Galaxies,June,"26,",2003
Star Wars: Knights of the Old Republic,November,"19,",2003
Star Wars: Knights of the Old Republic II – The Sith Lords,February,"8,",2005
Star Wars: The Old Republic,December,"20,",2011
Star Wars: TIE Fighter,July,"1,",1994
Star Wars: X-Wing,February,"1,",1993
StarCraft,March,"31,",1998
StarCraft: Brood War,March,"31,",1998
StarCraft II: Heart of the Swarm,March,"12,",2013
StarCraft II: Wings of Liberty,July,"27,",2010
StarDrive,April,"26,",2013
Starsector,April,"26,",2013
Starsiege: Tribes,November,"30,",1998
State of Decay,November,"5,",2013
Stellar Monarch,December,"5,",2016
Stronghold,October,"19,",2001
Stronghold 2,April,"18,",2005
Stronghold 3,October,"25,",2011
Stronghold: Crusader,July,"31,",2002
Stronghold: Crusader Extreme,May,"27,",2008
Stronghold Kingdoms,October,"17,",2012
Stronghold Legends,October,"13,",2006
Super Meat Boy,April,"5,",2011
Supreme Commander,April,"5,",2011
SWAT 3: Close Quarters Battle,November,"23,",1999
SWAT 4,April,"5,",2005
System Shock,October,"22,",1994
System Shock 2,August,"11,",1999
Team Fortress 2,October,"9,",2007
Team Fortress Classic,April,"7,",1999
Terraria,May,"16,",2011
Thomas Was Alone,June,"30,",2012
The Sacred Hero,June,"30,",2012
The Secret World,July,"3,",2012
The Ship,April,"9,",2007
The Sims 2: Apartment Life,August,"25,",2008
